,text,context,url,search_queries,relevant_sentences,contradiction,neutrality,entailment,relevance
158,"Fish that spend part of their life cycle in brackish or fresh water, like salmon (which really are anadromous coastal trout), are a particular problem.","[47][48]  Traditionally, fish that live all or part of their lives in fresh water were considered unsuitable for sashimi due to the possibility of parasites (see Sashimi article). Parasitic infections from freshwater fish are a serious problem in some parts of the world, particularly Southeast Asia[citation needed]. Fish that spend part of their life cycle in brackish or fresh water, like salmon (which really are anadromous coastal trout), are a particular problem. A study in Seattle, Washington showed that 100% of wild salmon had roundworm larvae capable of infecting people. In the same study farm-raised salmon did not have any roundworm larvae.",https://en.wikipedia.org/wiki/Fish_as_food,{'fish AND food'},[1],[0.0040069935],[0.9595426],[0.036450453],0.5465625524520874
159,The omega-3 fats found in fish have powerful anti-inflammatory effects and may benefit health in many ways when consumed in large doses.,"Following a plant-based diet may help reduce the risk of type 2 diabetes and metabolic syndrome. Metabolic syndrome is a cluster of conditions, including insulin resistance, high blood pressure, and obesity. The omega-3 fats found in fish have powerful anti-inflammatory effects and may benefit health in many ways when consumed in large doses. Plant-based diets are high in anti-inflammatory and antioxidant agents, such as flavonoids. These are natural compounds present in plants.",https://www.medicalnewstoday.com/articles/323907,{'diet AND fish AND food'},"[1, 11, 16]","[0.00083324447, 0.0064968923, 0.0010799764]","[0.99316674, 0.94221646, 0.99571973]","[0.0060000466, 0.051286604, 0.003200374]",0.544569730758667
160,"These habitats are ""essential"" because, without them, fish would not be able to survive.","Seagrasses. Rivers. These habitats are ""essential"" because, without them, fish would not be able to survive. High priorities for EFH conservation are called Habitat Areas of Particular Concern (HAPC) and merit special attention from NOAA Fisheries. These areas include, for example, coastal estuaries, canopy kelp, shallow corals, seagrass, and rocky reefs.",https://www.fisheries.noaa.gov/national/habitat-conservation/essential-fish-habitat,{'fish AND habitat'},"[1, 11, 16]","[0.0017153887, 0.05001015, 0.028103089]","[0.8643712, 0.71480227, 0.9303233]","[0.13391347, 0.23518762, 0.04157363]",0.5442816615104675
161,Choose fresh fish when possible because it is lower in sodium.,Include fish two times per week as a great lean protein option and a way to help boost intake of omega-3 fatty acids. The potassium and phosphorus content of fish varies (see the chart below). Choose fresh fish when possible because it is lower in sodium. Canned fish can be high in sodium. Always talk to your kidney dietitian to find out how you can include fish in your diet.,https://www.kidney.org/atoz/content/fish,{'diet AND fish'},"[0, 1, 11, 16]","[0.007916191, 0.0020863938, 0.0058923336, 0.002876134]","[0.9888622, 0.95160973, 0.8133569, 0.94669664]","[0.0032216152, 0.04630385, 0.18075082, 0.05042725]",0.5442602038383484
162,"[2]  Intermediate Technology Publications wrote in 1992 that ""Fish provides a good source of high quality protein and contains many vitamins and minerals.","[2] A portion of 150g of fish provides about 50 to 60 percent of an adult's daily protein requirement. Fish proteins are essential in the diet of some densely populated countries where the total protein intake is low, and are particularly important in diets in small island developing States (SIDS). [2]  Intermediate Technology Publications wrote in 1992 that ""Fish provides a good source of high quality protein and contains many vitamins and minerals. It may be classed as either whitefish, oily fish, or shellfish. Whitefish, such as haddock and seer, contain very little fat (usually less than 1%) whereas oily fish, such as sardines, contain between 10–25%.",https://en.wikipedia.org/wiki/Fish_as_food,{'fish AND food'},"[0, 1, 11, 16, 22]","[0.0011554405, 0.0015382521, 0.005320332, 0.0007741819, 0.00070658966]","[0.9977976, 0.99249566, 0.94492716, 0.99749666, 0.9969451]","[0.0010469205, 0.0059661833, 0.049752496, 0.0017291147, 0.0023483317]",0.5436649322509766
163,Include fish two times per week as a great lean protein option and a way to help boost intake of omega-3 fatty acids.,Transplant patients are at higher risk since they take immunosuppressive medications or “anti-rejection medications” to protect the new transplanted kidney. People on dialysis have increased protein needs. Include fish two times per week as a great lean protein option and a way to help boost intake of omega-3 fatty acids. The potassium and phosphorus content of fish varies (see the chart below). Choose fresh fish when possible because it is lower in sodium.,https://www.kidney.org/atoz/content/fish,{'diet AND fish'},"[16, 17]","[0.0012308971, 0.0019256731]","[0.9692011, 0.958782]","[0.02956797, 0.039292414]",0.5433720350265503
164,"An analysis of 20 studies involving hundreds of thousands of participants indicates that eating approximately one to two 3-ounce servings of fatty fish a week—salmon, herring, mackerel, anchovies, or sardines—reduces the risk of dying from heart disease by 36 percent.","Fish and other seafood are the major sources of healthful long-chain omega-3 fats and are also rich in other nutrients such as vitamin D and selenium, high in protein, and low in saturated fat. There is strong evidence that eating fish or taking fish oil is good for the heart and blood vessels. An analysis of 20 studies involving hundreds of thousands of participants indicates that eating approximately one to two 3-ounce servings of fatty fish a week—salmon, herring, mackerel, anchovies, or sardines—reduces the risk of dying from heart disease by 36 percent. (1) Eating fish fights heart disease in several ways. The omega-3 fats in fish protect the heart against the development of erratic and potentially deadly cardiac rhythm disturbances.",https://www.hsph.harvard.edu/nutritionsource/fish/,"{'diet AND healthiest AND fish', 'diet AND fish'}","[8, 11, 16, 17]","[0.74854326, 0.0035508187, 0.0017628137, 0.01100557]","[0.24600492, 0.87047815, 0.9853048, 0.851619]","[0.005451837, 0.12597108, 0.012932449, 0.13737543]",0.5429941415786743
165,You can get the health benefits of eating Wisconsin's fish while reducing potential health risks from unwanted pollutants by following Wisconsin’s fish consumption guidelines.,"However, fish may take in pollutants from their environment and food. Mercury, PCBs, and PFAS are the contaminants of most significant concern in fish, prompting recommendations that people limit or avoid eating certain fish species from many waters throughout the nation. You can get the health benefits of eating Wisconsin's fish while reducing potential health risks from unwanted pollutants by following Wisconsin’s fish consumption guidelines. Compare the type of fish and where you caught your fish with the consumption advice. After consulting the recommendations, you may find that you do not have to change your eating habits, you may choose to eat different types of fish or eat some species less frequently.",https://dnr.wisconsin.gov/topic/Fishing/consumption,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 11, 16]","[0.0024319317, 0.0018584336, 0.004288191, 0.0007499397]","[0.9960561, 0.971177, 0.9314678, 0.9935045]","[0.0015120627, 0.026964687, 0.064243935, 0.0057455474]",0.5429716110229492
166,"In a study of almost 12,000 pregnant women, children born to those who ate less than two servings of fish a week didn’t do as well on tests of intelligence, behavior, and development as children born to mothers who ate fish at least twice a week.","High intake of mercury appears to hamper a baby’s brain development. (6) But low intake of omega-3 fats from fish is at least as dangerous. In a study of almost 12,000 pregnant women, children born to those who ate less than two servings of fish a week didn’t do as well on tests of intelligence, behavior, and development as children born to mothers who ate fish at least twice a week. (7) A study conducted by Harvard researchers showed that visual recognition scores in six-month-olds were highest in those whose mothers ate at least two servings of fish a week during pregnancy but who also had low mercury levels. (8) Several other observational studies of fish intake during pregnancy, and randomized controlled trials of fish oil during pregnancy or breast feeding, have found similar benefits of mothers’ fish or fish oil intake for their babies’ brain development.",https://www.hsph.harvard.edu/nutritionsource/fish/,"{'diet AND healthiest AND fish', 'diet AND fish'}","[7, 11, 16, 17]","[0.01605271, 0.12558825, 0.0015670956, 0.00057288376]","[0.6803748, 0.8470624, 0.9948113, 0.99440694]","[0.3035725, 0.02734939, 0.003621603, 0.0050202]",0.5427542924880981
167,But some groups should limit the amount of fish they eat.,Fatty fish contain the most omega-3 fatty acids and seem to be the most beneficial to heart health. Good omega-3-rich fish options include: The U.S. Food and Drug Administration (FDA) recommends fish as part of a healthy diet for most people. But some groups should limit the amount of fish they eat. Most adults should eat at least 8 ounces or two servings of omega-3-rich fish a week. A serving size is 4 ounces or about the size of a deck of cards.,https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/omega-3/art-20045614,{'diet AND fish'},"[1, 16, 17]","[0.0027538817, 0.023040473, 0.00071630906]","[0.98198915, 0.9693048, 0.9921829]","[0.015256951, 0.0076547093, 0.0071008164]",0.5426347255706787
168,For Those Who Might Become or Are Pregnant or Breastfeeding and Children Ages 1 - 11 Years En español and Additional Translations   FDA and EPA have issued advice regarding eating fish‡.,The site is secure. The https:// ensures that you are connecting to the official website and that any information you provide is encrypted and transmitted securely. For Those Who Might Become or Are Pregnant or Breastfeeding and Children Ages 1 - 11 Years En español and Additional Translations   FDA and EPA have issued advice regarding eating fish‡. This advice can help those who might become or are pregnant or breastfeeding as well as parents and caregivers who are feeding children make informed choices when it comes to the types of fish that are nutritious and safe to eat. This advice supports the recommendations of the Dietary Guidelines for Americans.,https://www.fda.gov/food/consumers/advice-about-eating-fish,"{'diet AND healthiest AND dietary AND guideline AND fish AND information', 'diet AND fish AND food', 'diet AND fish', 'diet AND fish AND species AND shrimp'}","[1, 16, 19, 22]","[0.00078899064, 0.0006396788, 0.022383153, 0.0010610266]","[0.9922801, 0.9975485, 0.72019905, 0.99761105]","[0.006930889, 0.0018117856, 0.25741777, 0.0013279653]",0.5425849556922913
169,Studies have found that people who eat fish regularly are much less likely to become depressed (12).,"It’s characterized by low mood, sadness, decreased energy, and loss of interest in life and activities. Although it isn’t discussed nearly as much as heart disease or obesity, depression is currently one of the world’s biggest health problems. Studies have found that people who eat fish regularly are much less likely to become depressed (12). Numerous controlled trials also reveal that omega-3 fatty acids may fight depression and significantly increase the effectiveness of antidepressant medications (13, 14, 15). Fish and omega-3 fatty acids may also aid other mental conditions, such as bipolar disorder (16).",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[1, 7, 11, 16]","[0.0013115704, 0.0093250815, 0.0053338115, 0.0010570758]","[0.9925614, 0.7916816, 0.9583627, 0.9965578]","[0.0061269538, 0.19899333, 0.036303494, 0.0023850964]",0.542372465133667
170,Fish and shellfish are an easy and nutritious way to add important vitamins and minerals to your diet and make a great high-protein alternative to red meat and poultry.,"Registered nutritionist Nicola Shubrook advises on the most nutritious fish to include in your diet, from salmon and tuna, to mackerel and cod Interested in trying our FREE 7-day healthy diet plan? Click here and choose between our meat eaters, vegetarian or vegan meal plans. Fish and shellfish are an easy and nutritious way to add important vitamins and minerals to your diet and make a great high-protein alternative to red meat and poultry. The NHS recommends eating at least two portions of fish a week, including one portion of oily fish. Oily fish – such as salmon, mackerel, anchovies, sardines and herring – contain all-important omega-3 essential fatty acid, which is important for heart and brain health as well as mood regulation.",https://www.bbcgoodfood.com/howto/guide/healthy-fish-to-eat,{'diet AND healthiest AND fish'},"[11, 13, 16]","[0.0028751784, 0.0007472805, 0.0018273073]","[0.8700037, 0.9976501, 0.984116]","[0.1271211, 0.0016026854, 0.014056704]",0.5422817468643188
171,Fish species diversity is roughly divided equally between marine (oceanic) and freshwater ecosystems.,"[32][33] Many species live in underground lakes, underground rivers or aquifers and are popularly known as cavefish. [34]  Fish range in size from the huge 16-metre (52 ft) whale shark to the tiny 8-millimetre (0.3 in) stout infantfish. Fish species diversity is roughly divided equally between marine (oceanic) and freshwater ecosystems. Coral reefs in the Indo-Pacific constitute the center of diversity for marine fishes, whereas continental freshwater fishes are most diverse in large river basins of tropical rainforests, especially the Amazon, Congo, and Mekong basins. More than 5,600 fish species inhabit Neotropical freshwaters alone, such that Neotropical fishes represent about 10% of all vertebrate species on the Earth.",https://en.wikipedia.org/wiki/Fish,{'fish'},"[0, 1, 3, 11, 22]","[0.0012649278, 0.0007833115, 0.013387944, 0.002978561, 0.0016900393]","[0.9661212, 0.9969874, 0.8735096, 0.98882735, 0.99419254]","[0.03261386, 0.0022292559, 0.11310245, 0.008194153, 0.0041173855]",0.5422707200050354
172,(1) Eating fish fights heart disease in several ways.,"There is strong evidence that eating fish or taking fish oil is good for the heart and blood vessels. An analysis of 20 studies involving hundreds of thousands of participants indicates that eating approximately one to two 3-ounce servings of fatty fish a week—salmon, herring, mackerel, anchovies, or sardines—reduces the risk of dying from heart disease by 36 percent. (1) Eating fish fights heart disease in several ways. The omega-3 fats in fish protect the heart against the development of erratic and potentially deadly cardiac rhythm disturbances. They also lower blood pressure and heart rate, improve blood vessel function, and, at higher doses, lower triglycerides and may ease inflammation.",https://www.hsph.harvard.edu/nutritionsource/fish/,"{'diet AND healthiest AND fish', 'diet AND fish'}","[8, 11, 16]","[0.8019051, 0.0055444776, 0.00070646737]","[0.19590999, 0.8827785, 0.995743]","[0.002184907, 0.111677095, 0.0035505272]",0.5421931743621826
173,"Fin fish like salmon have gills, are covered in scales, and reproduce by laying eggs.","All fish share two traits: they live in water and they have a backbone—they are vertebrates. Apart from these similarities, however, many of the species in this group differ markedly from one another. Fin fish like salmon have gills, are covered in scales, and reproduce by laying eggs. Eels, by contrast, have worm-like bodies and exceedingly slimy skin. Lungfish gulp air.",https://www.nationalgeographic.com/animals/fish,{'fish'},"[1, 11, 16]","[0.0012564277, 0.004837141, 0.00067807635]","[0.9566894, 0.97409815, 0.995574]","[0.042054135, 0.021064673, 0.0037479321]",0.5409291386604309
174,Omega-3 fatty acids and other nutrients in fish may benefit heart health and reduce the risk of dying of heart disease.,"For many years, the American Heart Association has recommended that people eat fish rich in unsaturated fats at least twice a week. The unsaturated fats in fish are called omega-3 fatty acids. Omega-3 fatty acids and other nutrients in fish may benefit heart health and reduce the risk of dying of heart disease. Some people are concerned about mercury or other contaminants in seafood. However, the benefits of eating fish as part of a healthy diet usually outweigh the possible risks of exposure to contaminants.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/omega-3/art-20045614,{'diet AND fish'},"[0, 1, 11, 16]","[0.0010835256, 0.0010677533, 0.005125864, 0.0010885212]","[0.9977957, 0.98959494, 0.8948925, 0.9957551]","[0.0011208171, 0.0093373265, 0.09998163, 0.0031564957]",0.5400658845901489
175,"Omega-3 fatty acids may benefit heart health by: Try to eat at least two servings a week of fish, particularly fish that's rich in omega-3 fatty acids.","Omega-3 fatty acids are a type of unsaturated fatty acid that may reduce inflammation throughout the body. Inflammation in the body can damage the blood vessels and lead to heart disease and strokes. Omega-3 fatty acids may benefit heart health by: Try to eat at least two servings a week of fish, particularly fish that's rich in omega-3 fatty acids. Doing so appears to reduce the risk of heart disease, particularly sudden cardiac death. Many types of seafood contain small amounts of omega-3 fatty acids.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/omega-3/art-20045614,{'diet AND fish'},"[0, 1, 11, 16]","[0.0011102107, 0.0015371207, 0.0067578633, 0.0007247222]","[0.9977794, 0.97128963, 0.8468358, 0.9945977]","[0.0011103239, 0.027173346, 0.14640637, 0.0046775904]",0.5390350818634033
176,There are many varieties of fish.," There are many varieties of fish. While all fish provide excellent high-quality protein for your diet, some fish provide higher amounts of omega-3 fatty acids. Our bodies do not produce omega-3 fatty acids, so we have to get them from our diet.",https://www.kidney.org/atoz/content/fish,{'diet AND fish'},"[1, 11, 22]","[0.00060538197, 0.0015038316, 0.00068487605]","[0.9970878, 0.9781472, 0.99656725]","[0.0023068434, 0.020348975, 0.002747893]",0.5376026630401611
177,"Fish have had a role in culture through the ages, serving as deities, religious symbols, and as the subjects of art, books and movies.","Commercial and subsistence fishers hunt fish in wild fisheries or farm them in ponds or in cages in the ocean (in aquaculture). They are also caught by recreational fishers, kept as pets, raised by fishkeepers, and exhibited in public aquaria. Fish have had a role in culture through the ages, serving as deities, religious symbols, and as the subjects of art, books and movies. Tetrapods (amphibians, reptiles, birds and mammals) emerged within lobe-finned fishes, so cladistically they are fish as well. However, traditionally fish (pisces or ichthyes) are rendered paraphyletic by excluding the tetrapods, and are therefore not considered a formal taxonomic grouping in systematic biology, unless it is used in the cladistic sense, including tetrapods,[6][7] although usually ""vertebrate"" is preferred and used for this purpose (fish plus tetrapods) instead.",https://en.wikipedia.org/wiki/Fish,{'fish'},"[1, 7, 11, 16]","[0.001035792, 0.071005315, 0.0032300828, 0.0012365252]","[0.99748284, 0.90583205, 0.9915686, 0.99772877]","[0.0014813791, 0.023162687, 0.005201295, 0.0010348165]",0.5343916416168213
178,"Because water transmits sounds, disperses chemicals, and conducts electricity better than air, fish rely less on their vision and more on their hearing, taste, and smell.","Some species, such as the weedy sea dragon, are so bizarre they seem almost unreal. Fish have developed special senses, too. Because water transmits sounds, disperses chemicals, and conducts electricity better than air, fish rely less on their vision and more on their hearing, taste, and smell. Many can detect motion in the water using a special row of scales with sensors known as the lateral line. Others can find their prey and even navigate by detecting electrical charges.",https://www.nationalgeographic.com/animals/fish,{'fish'},"[1, 11, 16]","[0.0011733716, 0.04689015, 0.0019945384]","[0.98285127, 0.880757, 0.9961643]","[0.015975324, 0.072352774, 0.0018411622]",0.5326957702636719
179,One reason fish are so diverse is that 70 percent of the planet is covered in water.,"Many can detect motion in the water using a special row of scales with sensors known as the lateral line. Others can find their prey and even navigate by detecting electrical charges. One reason fish are so diverse is that 70 percent of the planet is covered in water. The animals in this group live in a variety of habitats ranging from coral reefs and kelp forests to rivers, streams, and the open ocean. Another is that fish are very old on the evolutionary scale.",https://www.nationalgeographic.com/animals/fish,{'fish'},"[0, 1, 11, 22]","[0.0006966594, 0.000680813, 0.0040740105, 0.0011816263]","[0.99281114, 0.9961442, 0.8666624, 0.9917858]","[0.006492171, 0.0031750535, 0.1292636, 0.007032509]",0.5322659015655518
180,"They advise these groups avoid fish with higher levels of mercury contamination, which usually include: The following 12 superstar fish have made it onto our “best fish” list not only for having great nutrition and safety profiles but because they’re eco-friendly — being responsibly caught or farmed, and not overfished.","Contaminants such as mercury and polychlorinated biphenyls (PCBs) find their way into ground, lake, and ocean water from our household and industrial waste, and then into the fish who live there. The Environmental Protection Agency (EPA) and FDA have issued combined guidelines for women of childbearing age, pregnant and breastfeeding women, and children. They advise these groups avoid fish with higher levels of mercury contamination, which usually include: The following 12 superstar fish have made it onto our “best fish” list not only for having great nutrition and safety profiles but because they’re eco-friendly — being responsibly caught or farmed, and not overfished. There’s a debate about whether wild salmon or farmed salmon is the better option. Farmed salmon is significantly cheaper, but it may contain less omega-3s and fewer vitamins and minerals, depending on whether it’s fortified or not.",https://www.healthline.com/health/food-nutrition/11-best-fish-to-eat,{'diet AND healthiest AND fish'},"[1, 11, 22]","[0.001916843, 0.0054848883, 0.0030503005]","[0.9139468, 0.73613435, 0.9860117]","[0.084136285, 0.25838074, 0.010937942]",0.5313922762870789
181,"Save this list of some of the safest fish with the best… Salmon is nutritious, tasty, versatile, and widely available.","This article examines the evidence and reviews the benefits and dangers of eating tilapia. Fish are undeniably a healthy food, but they can have high levels of contaminants, too. Save this list of some of the safest fish with the best… Salmon is nutritious, tasty, versatile, and widely available. Here are a few salmon nutrition facts and health benefits. Omega-3 fatty acids are incredibly important for your body and brain.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[0, 1, 11, 16, 22]","[0.0019611912, 0.001716955, 0.0024271503, 0.0022594389, 0.0019653514]","[0.99164855, 0.9436443, 0.8961196, 0.9461493, 0.99066556]","[0.0063903118, 0.054638736, 0.101453245, 0.051591333, 0.007369057]",0.5311274528503418
182,"Omega-3 fatty acids in fish benefit the hearts of healthy people and those at high risk of, or who have, cardiovascular (heart) disease.","They contain essential nutrients, omega-3 fatty acids, and are low in saturated fat. Well-balanced meals that include a variety of fish and shellfish can contribute to heart health and children's proper growth and development. Omega-3 fatty acids in fish benefit the hearts of healthy people and those at high risk of, or who have, cardiovascular (heart) disease. However, some fish and shellfish (e.g., clams, oysters) may contain chemicals or illness-causing microorganisms like bacteria and viruses that could pose health risks to people. When contaminant levels are unsafe, fish and shellfish advisories help people make informed decisions about where to fish or harvest shellfish.",https://www.epa.gov/choose-fish-and-shellfish-wisely/fish-and-shellfish-advisories-and-safe-eating-guidelines,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 11, 16]","[0.0011666997, 0.0018468683, 0.006222516, 0.0012200155]","[0.99776757, 0.9872399, 0.85091627, 0.9963076]","[0.001065756, 0.010913267, 0.14286116, 0.0024723602]",0.5308536291122437
183,Table 15 and 16 presents the dietary nutrient levels recommended for carnivorous and omnivorous fish species respectively.,"aquaculture culture systems such as cement tanks or raceways, and cages suspended in clear open water bodies). At present it is not possible to give dietary nutrient recommendations for feeds intended for use within semi-intensive aquaculture culture systems such as earthen ponds; the dietary nutrient requirements of fish or shrimp within these culture conditions depending on aquaculture species, species stocking density, the fertility of the water body, and the availability of natural pond food organisms. Table 15 and 16 presents the dietary nutrient levels recommended for carnivorous and omnivorous fish species respectively. With the exception of the dietary lipid sources, the nutrient levels indicated apply equally for both freshwater and marine fish species. Table 17 and 18 presents the dietary nutrient levels recommended for carnivorous and omnivorous shrimp species.",https://www.fao.org/3/ab470e/AB470E08.htm,{'diet AND fish AND species AND shrimp'},"[1, 7, 8, 22]","[0.0011807192, 0.011780219, 0.009783325, 0.0016518937]","[0.9188228, 0.69936246, 0.989017, 0.99670035]","[0.07999647, 0.28885728, 0.0011996776, 0.0016477251]",0.530632495880127
184,Wild fish tends to have more omega-3s and is less likely to be contaminated with harmful pollutants.,"Eating fish one or two times per week is considered sufficient to reap its benefits. If possible, choose wild-caught fish rather than farmed. Wild fish tends to have more omega-3s and is less likely to be contaminated with harmful pollutants. Salmon can be prepared baked, fried, seared, or boiled. It pairs well with a multitude of vegetables and grains.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[0, 1, 11, 16, 22]","[0.00076143676, 0.0017550419, 0.0037491487, 0.0016718879, 0.0011894718]","[0.9939427, 0.9700946, 0.9281096, 0.9942544, 0.99310005]","[0.005295858, 0.028150344, 0.06814125, 0.0040737125, 0.005710554]",0.5299230217933655
185,"Fish is rich in calcium and phosphorus and a great source of minerals, such as iron, zinc, iodine, magnesium, and potassium.","About Us  |  Contact Us  |  Newsroom Fish is a low-fat high quality protein. Fish is filled with omega-3 fatty acids and vitamins such as D and B2 (riboflavin). Fish is rich in calcium and phosphorus and a great source of minerals, such as iron, zinc, iodine, magnesium, and potassium. The American Heart Association recommends eating fish at least two times per week as part of a healthy diet. Fish is packed with protein, vitamins, and nutrients that can lower blood pressure and help reduce the risk of a heart attack or stroke.",https://doh.wa.gov/community-and-environment/food/fish/health-benefits,"{'diet AND fish AND food', 'diet AND fish'}","[1, 8, 11, 16]","[0.0013510052, 0.0021535016, 0.003405077, 0.00083999644]","[0.99280906, 0.9969854, 0.9439088, 0.9973061]","[0.0058399336, 0.0008610865, 0.052686203, 0.0018539773]",0.529437780380249
186,You probably already know that you’re supposed to be eating fish twice a week.,"Updated November 16, 2018. You probably already know that you’re supposed to be eating fish twice a week. Fish are a lean, healthy source of protein–and the oily kinds, such as salmon, tuna, and sardines–deliver those heart- and brain-healthy omega-3 fats that you should also be getting in your diet. But then there’s the concern about choosing seafood that’s sustainable.",https://www.onemedical.com/blog/eat-well/healthy-fish-eating-guide/,{'diet AND healthiest AND fish'},"[7, 17, 19]","[0.0052308165, 0.018736297, 0.0088189505]","[0.6761676, 0.9676809, 0.6154792]","[0.31860167, 0.013582736, 0.37570187]",0.5290725827217102
187,"In the pescatarian diet, a person eats a primarily vegetarian diet with the addition of fish and other seafood."," In the pescatarian diet, a person eats a primarily vegetarian diet with the addition of fish and other seafood. Eating a diet consisting mainly of plant-based foods has a variety of health benefits, which the addition of fish and fish products may enhance. In this article, we look at the potential health benefits of a pescatarian diet and what people can eat on this kind of diet.",https://www.medicalnewstoday.com/articles/323907,{'diet AND fish AND food'},"[7, 8]","[0.023045398, 0.9567326]","[0.8210033, 0.039931584]","[0.15595122, 0.0033358918]",0.5287479758262634
188,Most adults should eat at least 8 ounces or two servings of omega-3-rich fish a week.,"Good omega-3-rich fish options include: The U.S. Food and Drug Administration (FDA) recommends fish as part of a healthy diet for most people. But some groups should limit the amount of fish they eat. Most adults should eat at least 8 ounces or two servings of omega-3-rich fish a week. A serving size is 4 ounces or about the size of a deck of cards. If you're pregnant, planning to become pregnant or are breastfeeding, you can still get the heart-healthy benefits of fish from a variety of seafood and fish that are typically low in mercury, such as salmon and shrimp.",https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/omega-3/art-20045614,{'diet AND fish'},"[16, 17]","[0.00051596697, 0.0058432687]","[0.9927544, 0.98155147]","[0.0067295553, 0.012605274]",0.5276068449020386
189,"Fish to avoid include: Fish low in mercury include: A pescatarian diet may be healthful and carries health benefits, as long as people avoid fish with high levels of mercury.","For most people, the mercury present in fish is not a risk, explains the U.S. Food and Drug Administration (FDA). However, they advise women considering becoming pregnant, women who are pregnant, nursing mothers, and young children not to eat specific fish. Fish to avoid include: Fish low in mercury include: A pescatarian diet may be healthful and carries health benefits, as long as people avoid fish with high levels of mercury. People may find that canned tuna and sardines, as well as smoked fish, are the easiest foods to obtain and eat. These are full-flavored options, but frozen white fish and fish sticks are more delicately flavored options.",https://www.medicalnewstoday.com/articles/323907,{'diet AND fish AND food'},"[1, 11, 16]","[0.0022302978, 0.005795055, 0.007142157]","[0.9018978, 0.84429646, 0.9769231]","[0.095871925, 0.14990853, 0.015934749]",0.5268386602401733
190,"[2]  Over 32,000 species of fish have been described,[3] making them the most diverse group of vertebrates.","[2] Oceania and Africa consumed the lowest share. The shift is the result of structural changes in the sector and in particular the growing role of Asian countries in fish production, as well as a significant gap between the economic growth rates of the world's more mature fish markets and those of many increasingly important emerging markets around the world, particularly in Asia. [2]  Over 32,000 species of fish have been described,[3] making them the most diverse group of vertebrates. In addition, there are many species of shellfish. However, only a small number of species are commonly eaten by humans.",https://en.wikipedia.org/wiki/Fish_as_food,{'fish AND food'},"[0, 1, 11, 22]","[0.0006154587, 0.0007949706, 0.0015921462, 0.000948301]","[0.9972396, 0.9977349, 0.9925761, 0.996811]","[0.0021449255, 0.0014701453, 0.005831763, 0.0022407337]",0.5266942381858826
191,"So, given these limited health effects, low levels in fish, and major sources from other foods, the levels of PCBs and dioxins in fish should not influence your decision about which fish to eat (just as it does not influence your decision about whether or not to eat vegetables, meats, dairy products, or eggs, the major sources of PCBs and dioxins).","Second, levels of PCBs and dioxins in fish are very low, similar to levels in meats, dairy products, and eggs. Third, more than 90 percent of the PCBs and dioxins in the U.S. food supply come from such non-seafood sources, including meats, dairy, eggs, and vegetables. So, given these limited health effects, low levels in fish, and major sources from other foods, the levels of PCBs and dioxins in fish should not influence your decision about which fish to eat (just as it does not influence your decision about whether or not to eat vegetables, meats, dairy products, or eggs, the major sources of PCBs and dioxins). One exception: if you eat local freshwater fish caught by friends or family, it makes sense to consult local advisories about the amounts of such fish you should eat. Learn more about new study that finds no link between mercury exposure and heart disease, from Harvard School of Public Health and Brigham and Women’s Hospital.",https://www.hsph.harvard.edu/nutritionsource/fish/,"{'diet AND healthiest AND fish', 'diet AND fish'}","[0, 1, 11]","[0.002060296, 0.005212345, 0.06070108]","[0.99439853, 0.9498368, 0.825943]","[0.0035411494, 0.0449508, 0.11335598]",0.5264295935630798
192,It is important that women recognize that the list of fish and seafood that they should eat is far larger than the few specific species to be avoided.,"So, women should recognize that avoiding seafood altogether is likely to harm their babies’ brain development. The healthiest approach for women who are or may become pregnant, nursing mothers, and young children is to eat two servings per week of fish or other seafood, including up to one serving per week of white (albacore) canned tuna, and avoid the four fish species higher in mercury (shark, swordfish, tilefish, king mackerel). It is important that women recognize that the list of fish and seafood that they should eat is far larger than the few specific species to be avoided. Here’s what the Environmental Protection Agency and Food and Drug Administration recommend for women who are or may become pregnant, nursing mothers, and young children: Not all omega-3 fats come from fish. In fact, Americans also consume plant omega-3s in the form of alpha-linolenic acid (ALA), which is found in flax seeds, walnuts, and a few vegetable oils.",https://www.hsph.harvard.edu/nutritionsource/fish/,"{'diet AND healthiest AND fish', 'diet AND fish'}","[0, 1, 11, 16]","[0.00046191333, 0.0013009221, 0.0037145417, 0.00051680324]","[0.9963774, 0.9284531, 0.9430539, 0.99376947]","[0.0031606457, 0.070245996, 0.053231575, 0.0057137297]",0.5255417823791504
